feature,importance
AGE,0.050180002217204395
TOTAL_PAYMENT,0.04643816272746232
LIMIT_BAL,0.04619496560576457
TOTAL_PAYMENT_RATIO,0.04414456600062932
TOTAL_BILL,0.04191074674414775
PAY_0,0.04047164889933015
BILL_AMT1,0.037518611763400614
PAYMENT_RATIO_1,0.036430355554748356
PAYMENT_RATIO_2,0.03594079380395062
PAYMENT_RATIO_6,0.034273740667227076
PAYMENT_RATIO_3,0.034052599093557394
PAYMENT_RATIO_4,0.03396138688673726
BILL_AMT2,0.033578361554427734
PAYMENT_RATIO_5,0.03335770249118362
DELAY_PAYMENT_COUNT,0.03330343808617399
PAY_AMT1,0.03287185583791916
BILL_AMT6,0.03274156676650266
BILL_AMT3,0.03229976895468845
BILL_AMT5,0.03204915528200394
PAY_AMT2,0.03143049997776034
BILL_AMT4,0.03142758671945625
PAY_AMT3,0.03003994027932305
PAY_AMT5,0.029213433826993665
PAY_AMT6,0.028822949448824745
PAY_AMT4,0.028420839718712978
PAY_2,0.01839982056547396
EDUCATION,0.01620834182484846
PAY_3,0.01386520745176487
PAY_5,0.013136169366353614
MARRIAGE,0.012453477331430823
PAY_4,0.01217236144952413
PAY_6,0.011492488369516735
SEX,0.011197454732957007
